#CET-8k-gmfofb2
#Global Mirror Failover/Failback
#Nov 7, 2013 11:21:17 PM

H1,H2,J2
DS8000:2107.BWP21:VOL:E000,DS8000:2107.BWN81:VOL:DC00,DS8000:2107.BWN81:VOL:DD00
DS8000:2107.BWP21:VOL:E001,DS8000:2107.BWN81:VOL:DC01,DS8000:2107.BWN81:VOL:DD01
DS8000:2107.BWP21:VOL:E002,DS8000:2107.BWN81:VOL:DC02,DS8000:2107.BWN81:VOL:DD02
DS8000:2107.BWP21:VOL:E003,DS8000:2107.BWN81:VOL:DC03,DS8000:2107.BWN81:VOL:DD03
DS8000:2107.BWP21:VOL:E004,DS8000:2107.BWN81:VOL:DC04,DS8000:2107.BWN81:VOL:DD04
DS8000:2107.BWP21:VOL:E005,DS8000:2107.BWN81:VOL:DC05,DS8000:2107.BWN81:VOL:DD05
DS8000:2107.BWP21:VOL:E006,DS8000:2107.BWN81:VOL:DC06,DS8000:2107.BWN81:VOL:DD06
DS8000:2107.BWP21:VOL:E007,DS8000:2107.BWN81:VOL:DC07,DS8000:2107.BWN81:VOL:DD07
DS8000:2107.BWP21:VOL:E008,DS8000:2107.BWN81:VOL:DC08,DS8000:2107.BWN81:VOL:DD08
DS8000:2107.BWP21:VOL:E009,DS8000:2107.BWN81:VOL:DC09,DS8000:2107.BWN81:VOL:DD09
DS8000:2107.BWP21:VOL:E00A,DS8000:2107.BWN81:VOL:DC0A,DS8000:2107.BWN81:VOL:DD0A
DS8000:2107.BWP21:VOL:E00B,DS8000:2107.BWN81:VOL:DC0B,DS8000:2107.BWN81:VOL:DD0B
DS8000:2107.BWP21:VOL:E00C,DS8000:2107.BWN81:VOL:DC0C,DS8000:2107.BWN81:VOL:DD0C
DS8000:2107.BWP21:VOL:E00D,DS8000:2107.BWN81:VOL:DC0D,DS8000:2107.BWN81:VOL:DD0D
DS8000:2107.BWP21:VOL:E00E,DS8000:2107.BWN81:VOL:DC0E,DS8000:2107.BWN81:VOL:DD0E
DS8000:2107.BWP21:VOL:E00F,DS8000:2107.BWN81:VOL:DC0F,DS8000:2107.BWN81:VOL:DD0F
DS8000:2107.BWP21:VOL:E010,DS8000:2107.BWN81:VOL:DC10,DS8000:2107.BWN81:VOL:DD10
DS8000:2107.BWP21:VOL:E011,DS8000:2107.BWN81:VOL:DC11,DS8000:2107.BWN81:VOL:DD11
DS8000:2107.BWP21:VOL:E012,DS8000:2107.BWN81:VOL:DC12,DS8000:2107.BWN81:VOL:DD12
DS8000:2107.BWP21:VOL:E013,DS8000:2107.BWN81:VOL:DC13,DS8000:2107.BWN81:VOL:DD13
DS8000:2107.BWP21:VOL:E014,DS8000:2107.BWN81:VOL:DC14,DS8000:2107.BWN81:VOL:DD14
DS8000:2107.BWP21:VOL:E015,DS8000:2107.BWN81:VOL:DC15,DS8000:2107.BWN81:VOL:DD15
DS8000:2107.BWP21:VOL:E016,DS8000:2107.BWN81:VOL:DC16,DS8000:2107.BWN81:VOL:DD16
DS8000:2107.BWP21:VOL:E017,DS8000:2107.BWN81:VOL:DC17,DS8000:2107.BWN81:VOL:DD17
DS8000:2107.BWP21:VOL:E018,DS8000:2107.BWN81:VOL:DC18,DS8000:2107.BWN81:VOL:DD18
DS8000:2107.BWP21:VOL:E019,DS8000:2107.BWN81:VOL:DC19,DS8000:2107.BWN81:VOL:DD19
DS8000:2107.BWP21:VOL:E01A,DS8000:2107.BWN81:VOL:DC1A,DS8000:2107.BWN81:VOL:DD1A
DS8000:2107.BWP21:VOL:E01B,DS8000:2107.BWN81:VOL:DC1B,DS8000:2107.BWN81:VOL:DD1B
DS8000:2107.BWP21:VOL:E01C,DS8000:2107.BWN81:VOL:DC1C,DS8000:2107.BWN81:VOL:DD1C
DS8000:2107.BWP21:VOL:E01D,DS8000:2107.BWN81:VOL:DC1D,DS8000:2107.BWN81:VOL:DD1D
DS8000:2107.BWP21:VOL:E01E,DS8000:2107.BWN81:VOL:DC1E,DS8000:2107.BWN81:VOL:DD1E
DS8000:2107.BWP21:VOL:E01F,DS8000:2107.BWN81:VOL:DC1F,DS8000:2107.BWN81:VOL:DD1F
DS8000:2107.BWP21:VOL:E020,DS8000:2107.BWN81:VOL:DC20,DS8000:2107.BWN81:VOL:DD20
DS8000:2107.BWP21:VOL:E021,DS8000:2107.BWN81:VOL:DC21,DS8000:2107.BWN81:VOL:DD21
