#CET-SVC-FC
#FlashCopy
#Oct 29, 2013 7:43:23 PM

H1,T1
SVC:VOL:RMSVC06:cet1861,SVC:VOL:RMSVC06:cet1946
SVC:VOL:RMSVC06:cet1862,SVC:VOL:RMSVC06:cet1947
SVC:VOL:RMSVC06:cet1863,SVC:VOL:RMSVC06:cet1948
SVC:VOL:RMSVC06:cet1864,SVC:VOL:RMSVC06:cet1949
SVC:VOL:RMSVC06:cet1865,SVC:VOL:RMSVC06:cet1950
SVC:VOL:RMSVC06:cet1866,SVC:VOL:RMSVC06:cet1951
SVC:VOL:RMSVC06:cet1867,SVC:VOL:RMSVC06:cet1952
SVC:VOL:RMSVC06:cet1868,SVC:VOL:RMSVC06:cet1953
SVC:VOL:RMSVC06:cet1869,SVC:VOL:RMSVC06:cet1954
SVC:VOL:RMSVC06:cet1870,SVC:VOL:RMSVC06:cet1955
SVC:VOL:RMSVC06:cet1871,SVC:VOL:RMSVC06:cet1956
SVC:VOL:RMSVC06:cet1872,SVC:VOL:RMSVC06:cet1957
SVC:VOL:RMSVC06:cet1873,SVC:VOL:RMSVC06:cet1958
SVC:VOL:RMSVC06:cet1874,SVC:VOL:RMSVC06:cet1959
SVC:VOL:RMSVC06:cet1875,SVC:VOL:RMSVC06:cet1960
SVC:VOL:RMSVC06:cet1876,SVC:VOL:RMSVC06:cet1961
SVC:VOL:RMSVC06:cet1877,SVC:VOL:RMSVC06:cet1962
SVC:VOL:RMSVC06:cet1878,SVC:VOL:RMSVC06:cet1963
SVC:VOL:RMSVC06:cet1879,SVC:VOL:RMSVC06:cet1964
SVC:VOL:RMSVC06:cet1880,SVC:VOL:RMSVC06:cet1965
SVC:VOL:RMSVC06:cet1881,SVC:VOL:RMSVC06:cet1966
SVC:VOL:RMSVC06:cet1882,SVC:VOL:RMSVC06:cet1967
SVC:VOL:RMSVC06:cet1883,SVC:VOL:RMSVC06:cet1968
SVC:VOL:RMSVC06:cet1884,SVC:VOL:RMSVC06:cet1969
SVC:VOL:RMSVC06:cet1885,SVC:VOL:RMSVC06:cet1970
SVC:VOL:RMSVC06:cet1886,SVC:VOL:RMSVC06:cet1971
SVC:VOL:RMSVC06:cet1887,SVC:VOL:RMSVC06:cet1972
SVC:VOL:RMSVC06:cet1888,SVC:VOL:RMSVC06:cet1973
SVC:VOL:RMSVC06:cet1889,SVC:VOL:RMSVC06:cet1974
SVC:VOL:RMSVC06:cet1890,SVC:VOL:RMSVC06:cet1975
SVC:VOL:RMSVC06:cet1891,SVC:VOL:RMSVC06:cet1976
SVC:VOL:RMSVC06:cet1892,SVC:VOL:RMSVC06:cet1977
SVC:VOL:RMSVC06:cet1893,SVC:VOL:RMSVC06:cet1978
SVC:VOL:RMSVC06:cet1894,SVC:VOL:RMSVC06:cet1979
SVC:VOL:RMSVC06:cet1895,SVC:VOL:RMSVC06:cet1980
SVC:VOL:RMSVC06:cet1896,SVC:VOL:RMSVC06:cet1981
SVC:VOL:RMSVC06:cet1897,SVC:VOL:RMSVC06:cet1982
SVC:VOL:RMSVC06:cet1898,SVC:VOL:RMSVC06:cet1983
SVC:VOL:RMSVC06:cet1899,SVC:VOL:RMSVC06:cet1984
SVC:VOL:RMSVC06:cet1900,SVC:VOL:RMSVC06:cet1985
SVC:VOL:RMSVC06:cet1901,SVC:VOL:RMSVC06:cet1986
SVC:VOL:RMSVC06:cet1902,SVC:VOL:RMSVC06:cet1987
SVC:VOL:RMSVC06:cet1903,SVC:VOL:RMSVC06:cet1988
SVC:VOL:RMSVC06:cet1904,SVC:VOL:RMSVC06:cet1989
SVC:VOL:RMSVC06:cet1905,SVC:VOL:RMSVC06:cet1990
SVC:VOL:RMSVC06:cet1906,SVC:VOL:RMSVC06:cet1991
SVC:VOL:RMSVC06:cet1907,SVC:VOL:RMSVC06:cet1992
SVC:VOL:RMSVC06:cet1908,SVC:VOL:RMSVC06:cet1993
SVC:VOL:RMSVC06:cet1909,SVC:VOL:RMSVC06:cet1994
SVC:VOL:RMSVC06:cet1910,SVC:VOL:RMSVC06:cet1995
SVC:VOL:RMSVC06:cet1911,SVC:VOL:RMSVC06:cet1996
SVC:VOL:RMSVC06:cet1912,SVC:VOL:RMSVC06:cet1997
SVC:VOL:RMSVC06:cet1913,SVC:VOL:RMSVC06:cet1998
SVC:VOL:RMSVC06:cet1914,SVC:VOL:RMSVC06:cet1999
SVC:VOL:RMSVC06:cet1915,SVC:VOL:RMSVC06:cet2000
SVC:VOL:RMSVC06:cet1916,SVC:VOL:RMSVC06:cet2001
SVC:VOL:RMSVC06:cet1917,SVC:VOL:RMSVC06:cet2002
SVC:VOL:RMSVC06:cet1918,SVC:VOL:RMSVC06:cet2003
SVC:VOL:RMSVC06:cet1919,SVC:VOL:RMSVC06:cet2004
